run_id,name,state,created_at,heartbeat_at,url,group,job_type,sweep_id,tags
i8t210n6,hv_double_line_90kv__y_fault_location__lstm_regressor__W20ms,finished,2026-02-10T09:42:00Z,2026-02-10T10:01:06Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/i8t210n6,,,,[]
ieae7ull,hv_double_line_90kv__y_fault_line__cnn_classifier__W10ms,finished,2026-02-10T09:44:04Z,2026-02-10T09:45:55Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ieae7ull,,,,[]
417tcowh,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W10ms,finished,2026-02-10T09:46:04Z,2026-02-10T09:47:49Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/417tcowh,,,,[]
r0tt2w4q,hv_double_line_90kv__y_fault_line__dilated_cnn_classifier__W10ms,finished,2026-02-10T09:47:59Z,2026-02-10T09:49:55Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/r0tt2w4q,,,,[]
18u3r4y7,hv_double_line_90kv__y_fault_line__gru_classifier__W10ms,finished,2026-02-10T09:50:04Z,2026-02-10T09:51:21Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/18u3r4y7,,,,[]
8j76u2lg,hv_double_line_90kv__y_fault_line__inceptiontime_classifier__W10ms,finished,2026-02-10T09:51:31Z,2026-02-10T10:17:07Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/8j76u2lg,,,,[]
6ntd3kbk,hv_double_line_90kv__y_fault_location__rnn_regressor__W20ms,finished,2026-02-10T10:01:14Z,2026-02-10T10:08:30Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/6ntd3kbk,,,,[]
pf8aawya,hv_double_line_90kv__y_fault_line__tft_classifier__W20ms,finished,2026-02-10T10:08:37Z,2026-02-10T10:53:34Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/pf8aawya,,,,[]
ikrty4u9,hv_double_line_90kv__y_fault_location__tcn_regressor__W20ms,finished,2026-02-10T10:08:38Z,2026-02-10T10:23:19Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ikrty4u9,,,,[]
o67agvy8,hv_double_line_90kv__y_fault_location__rnn_regressor__W50ms,finished,2026-02-10T10:10:11Z,2026-02-10T11:00:58Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/o67agvy8,,,,[]
rvpuwpfy,hv_double_line_90kv__y_fault_location__gru_regressor__W30ms,finished,2026-02-10T10:11:32Z,2026-02-10T10:18:46Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/rvpuwpfy,,,,[]
tbgqey1v,hv_double_line_90kv__y_fault_line__lstm_classifier__W40ms,finished,2026-02-10T10:13:09Z,2026-02-10T11:12:23Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/tbgqey1v,,,,[]
ylossir8,hv_double_line_90kv__y_fault_line__cnn_classifier__W40ms,finished,2026-02-10T10:13:09Z,2026-02-10T10:33:35Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ylossir8,,,,[]
n05whj6i,hv_double_line_90kv__y_fault_line__lstm_classifier__W30ms,finished,2026-02-10T10:13:17Z,2026-02-10T10:54:06Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/n05whj6i,,,,[]
f0ln61pb,hv_double_line_90kv__y_fault_location__cnn_lstm_regressor__W50ms,finished,2026-02-10T10:16:31Z,2026-02-10T11:56:59Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/f0ln61pb,,,,[]
e3x60ld1,hv_double_line_90kv__y_fault_line__cnn_classifier__W30ms,finished,2026-02-10T10:17:42Z,2026-02-10T10:24:37Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/e3x60ld1,,,,[]
b7k47pju,hv_double_line_90kv__y_fault_location__inceptiontime_regressor__W30ms,finished,2026-02-10T10:18:52Z,2026-02-10T10:56:53Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/b7k47pju,,,,[]
ef34jm7t,hv_double_line_90kv__y_fault_location__tft_regressor__W20ms,finished,2026-02-10T10:23:27Z,2026-02-10T10:55:25Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ef34jm7t,,,,[]
g8qcttkw,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W30ms,finished,2026-02-10T10:24:48Z,2026-02-10T10:43:19Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/g8qcttkw,,,,[]
233dzcd9,hv_double_line_90kv__y_fault_line__cnn_lstm_classifier__W40ms,finished,2026-02-10T10:33:47Z,2026-02-10T11:04:59Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/233dzcd9,,,,[]
lxrghnm4,hv_double_line_90kv__y_fault_line__dilated_cnn_classifier__W30ms,finished,2026-02-10T10:43:33Z,2026-02-10T10:48:20Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/lxrghnm4,,,,[]
oaac9vav,hv_double_line_90kv__y_fault_line__gru_classifier__W30ms,finished,2026-02-10T10:48:33Z,2026-02-10T10:58:38Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/oaac9vav,,,,[]
whh4lqgv,hv_double_line_90kv__y_fault_line__lstm_classifier__W10ms,finished,2026-02-10T10:53:43Z,2026-02-10T11:00:13Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/whh4lqgv,,,,[]
ey5egpht,hv_double_line_90kv__y_fault_line__rnn_classifier__W30ms,finished,2026-02-10T10:54:16Z,2026-02-10T11:15:11Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ey5egpht,,,,[]
p49rhih2,hv_double_line_90kv__y_fault_present__cnn_classifier__W50ms,finished,2026-02-10T10:56:11Z,2026-02-10T12:34:03Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/p49rhih2,,,,[]
ahh3gs9j,hv_double_line_90kv__y_fault_location__lstm_regressor__W30ms,finished,2026-02-10T10:57:00Z,2026-02-10T11:35:15Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/ahh3gs9j,,,,[]
irl2w1k6,hv_double_line_90kv__y_fault_line__cnn_classifier__W30ms,finished,2026-02-10T10:57:19Z,2026-02-10T11:04:55Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/irl2w1k6,,,,[]
gr0s49zf,hv_double_line_90kv__y_fault_line__inceptiontime_classifier__W30ms,finished,2026-02-10T10:59:04Z,2026-02-10T11:34:02Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/gr0s49zf,,,,[]
vqnq1hz8,hv_double_line_90kv__y_fault_line__rnn_classifier__W10ms,finished,2026-02-10T11:00:23Z,2026-02-10T11:02:35Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/vqnq1hz8,,,,[]
uilsc01c,hv_double_line_90kv__y_fault_location__tcn_regressor__W50ms,finished,2026-02-10T11:01:05Z,2026-02-10T12:17:14Z,https://wandb.ai/julian_oelhaf/dl_comparison_hv_double_line_90kv/runs/uilsc01c,,,,[]
