observability,line_conditioned,line,terminal_side,fold,n_relays,n_channels,n_episodes_test,n_windows_test,mae,rmse,experiment,model,selected_relays,uses_faulted_line_for_input_selection,deployment_interpretation
full_line_conditioned,True,Line_2_3_a,,1,8,48,633,5697,0.0915010124444961,0.1230662383632486,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_a,,2,8,48,633,5697,0.1006436422467231,0.1341195861722789,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_a,,3,8,48,633,5697,0.104271113872528,0.1358702556317866,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_a,,4,8,48,633,5697,0.0915488377213478,0.1213415632709104,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_b,,0,8,48,268,2412,0.1043054014444351,0.1374351465020242,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_b,,1,8,48,268,2412,0.1080515459179878,0.1386288925502389,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_b,,2,8,48,268,2412,0.1183312609791755,0.1493903434227295,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_b,,3,8,48,267,2403,0.1074626445770263,0.1412437390315506,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full_line_conditioned,True,Line_2_3_b,,4,8,48,267,2403,0.100331000983715,0.1320506078873833,reduced_observability_fl_50ms,gru_regressor,Bus_1_Line_01_02A;Bus_1_Line_01_02B;Bus_2_Line_01_02A;Bus_2_Line_01_02B;Bus_2_Line_02_03A;Bus_2_Line_02_03B;Bus_3_Line_02_03A;Bus_3_Line_02_03B,True,conditional_on_fault_line_identification
full,False,,,0,8,48,1805,16245,0.0817204043269157,0.1142308945207136,reduced_observability_fl_50ms,cnn_lstm_regressor,,,
full,False,,,1,8,48,1805,16245,0.122445710003376,0.1622718376123775,reduced_observability_fl_50ms,cnn_lstm_regressor,,,
full,False,,,2,8,48,1804,16236,0.0840742215514183,0.1159099640368191,reduced_observability_fl_50ms,cnn_lstm_regressor,,,
full,False,,,3,8,48,1804,16236,0.109261155128479,0.1475296050098989,reduced_observability_fl_50ms,cnn_lstm_regressor,,,
full,False,,,4,8,48,1804,16236,0.1376667916774749,0.1785348431115304,reduced_observability_fl_50ms,cnn_lstm_regressor,,,
terminal_pair,True,Line_1_2_a,,0,2,12,639,5751,0.1143176257610321,0.1500999626722073,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,1,2,12,638,5742,0.114138625562191,0.1522904694136573,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,2,2,12,638,5742,0.1201327517628669,0.1598795267937617,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,3,2,12,638,5742,0.1201445683836937,0.1626580329581097,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_a,,4,2,12,638,5742,0.1174467355012893,0.152960506953555,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02A;Bus_2_Line_01_02A,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,0,2,12,266,2394,0.0958841368556022,0.140556656601512,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,1,2,12,266,2394,0.0927900597453117,0.1270780975274225,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,2,2,12,266,2394,0.091737225651741,0.1223777104887075,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,3,2,12,265,2385,0.0916549712419509,0.1394620999351959,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_1_2_b,,4,2,12,265,2385,0.1045819744467735,0.1448051267709338,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_1_Line_01_02B;Bus_2_Line_01_02B,True,conditional_on_fault_line_identification
terminal_pair,True,Line_2_3_a,,0,2,12,633,5697,0.1162851303815841,0.1532225205838421,reduced_observability_fl_50ms,cnn_lstm_regressor,Bus_2_Line_02_03A;Bus_3_Line_02_03A,True,conditional_on_fault_line_identification
